subject,release,task,availability,et_nan_values,eeg_sampling_rate_hz,et_sampling_rate_hz,eeg_channel_cnt,eeg_bad_channel_count,et_channel_cnt,eog_electrode_used_HEOG_anode,eog_electrode_used_HEOG_cathode,eog_electrode_used_VEOG_anode,eog_electrode_used_VEOG_cathode,eog_electrode_is_fallback_HEOG_anode,eog_electrode_is_fallback_HEOG_cathode,eog_electrode_is_fallback_VEOG_anode,eog_electrode_is_fallback_VEOG_cathode,et_samples_trimmed,eeg_samples_trimmed,gauss_A,gauss_mu,gauss_sigma,gauss_b,gauss_xcorr_cosine_similarity_full,gauss_xcorr_cosine_similarity_full_n,gauss_xcorr_cosine_similarity_95,gauss_xcorr_cosine_similarity_95_n,xcorr_zero,snr,xcorr_peak,xcorr_peak_idx,xcorr_peak_prominence,xcorr_second_peak,xcorr_second_peak_idx,xcorr_second_peak_prominence,shared_events,longest_gap_between_events,mean_abs_sync_error_ms,median_abs_sync_error_ms,within_1_sample,within_4_samples,regression_slope,regression_intercept,n_saccades,n_blinks,avg_saccade_duration_ms,avg_fixation_duration_ms,avg_blink_duration_ms,avg_saccade_amplitude
NDARAD615WLJ,R4,ThePresent,available,412,500.0,60.023305223925064,130,0,42,E8,E25,E21,E17,False,False,False,False,164,287,0.0013184346667624045,-55.12390156762261,375.97016472694787,0.00012785145900803257,0.9399864310816465,6000,0.983450711240354,1474,0.001746233408068976,14.627919460190286,0.0018517292238374873,36.0,0.002015992865360264,0.0007282639511993754,-704.0,6.674313955741962e-07,2,203.072006,9.037215420448774e-11,9.037215420448774e-11,0,0,1.0000000000000002,0.008071000000066756,1111,119,29.185410292218144,315.28063206344615,130.7101131890972,3.58968496849685
NDARAE301XTM,R6,ThePresent,available,11655,500.0,60.00884978117019,130,0,42,E8,E25,E21,E17,False,False,False,False,152,240,0.00037051400688938783,350.93119541261166,337.46897085998535,-6.660935313953294e-05,0.6558644026532489,6000,0.8602667723542258,1323,-2.352525961160612e-05,3.584955356718312,0.001769991448969024,21558.0,0.0035254410678381967,0.001744938577030768,21446.0,9.04162737356282e-06,2,203.06399299999998,3.785860513971784e-11,3.785860513971784e-11,2,2,1.0000000000000002,-0.0019159999999813619,36,65,55.51436326810331,174.92021967156063,5989.50094115537,14.0825
NDARAE866UVF,R7,ThePresent,available,322,500.0,119.35233403573179,130,0,34,E8,E25,E21,E17,False,False,False,False,0,227,0.023228011761969192,-3084.174783794827,433.3214334091618,-0.006939930740445349,0.7282266674468711,6000,0.9997221161895152,766,-0.007927474278518339,5.058652889898612,0.05604225408471978,11392.0,0.07806348023373003,0.02318554334068679,-42634.0,0.04495989668188764,2,203.07000000000002,5.129230373768223e-11,5.129230373768223e-11,2,2,1.0000000000000002,6.400000001670696e-05,1521,33,19.446309669558552,247.55890801312106,288.61178790921946,1.5507297830374753
NDARAF003VCL,R8,ThePresent,available,364,500.0,60.02349524111122,130,0,42,E8,E25,E21,E17,False,False,False,False,177,232,0.043845186690664874,-5850.334302397627,1854.104183787403,0.0008547124267575338,0.7885203858320896,6000,0.999854770786879,784,0.00833156921865185,3.7991354026908692,0.017981342078623546,-4015.0,0.01952591391226082,0.01613703328348558,9519.0,0.029237161900547155,2,203.285995,1.4699352846037073e-10,1.4699352846037073e-10,2,2,0.9999999999999994,0.0015479999999057391,1252,92,27.93281939780983,275.66570101137387,176.0269485665141,1.6386980830670923
NDARAF440XWG,R7,ThePresent,available,2409,500.0,81.4590182385457,130,0,34,E8,E25,E21,E17,False,False,False,False,0,246,0.013181509538376721,-3890.7671200785744,2456.268665607803,-0.012022865375143158,0.9893944294043651,6000,0.991316754075175,3924,-0.012023732368424946,0.2101608290111108,0.0014166716213017756,-4552.0,0.002007585663775298,0.0009170728113123156,-5929.0,6.274730076369101e-05,2,203.076005,3.1530333899354446e-11,3.1530333899354446e-11,2,2,1.0000000000000002,0.0004899999999649334,1021,51,16.519091528802306,209.5571995359988,3398.33257540672,1.3096865817825663
NDARAF535XK6,R7,ThePresent,available,544,500.0,117.99450456594445,130,0,34,E8,E25,E21,E17,False,False,False,False,0,246,0.0019351680023238736,-485.72289788839333,609.0602964103759,0.002480477453090469,0.6688564740921672,6000,0.9956779686073036,2388,0.004340651623975322,2.356423509662023,0.006421260155565119,-42102.0,0.006058884424680949,0.006360636949518321,-42229.0,9.899756058654504e-05,2,203.06599899999998,1.4765966227514582e-10,1.4765966227514582e-10,2,2,1.0000000000000002,-9.799999987576908e-05,1264,62,16.00285734887724,307.2222338262173,370.53406255923346,1.68189082278481
NDARAG191AE8,R8,ThePresent,available,209,500.0,60.014025937641364,130,0,42,E8,E25,E21,E17,False,False,False,False,212,229,0.012864099058264954,-1281.918744619654,3149.1953781137204,0.004703626998151401,0.5762217236846607,6000,0.5762217236846607,6000,0.017845110149100393,2.6275967647308867,0.020871520200090452,11103.0,0.04440892232417601,0.02010920229368944,11033.0,0.00011334453370994216,2,203.276005,1.5198953207118393e-10,1.5198953207118393e-10,0,2,1.0000000000000007,0.005484000000075532,1369,38,31.959237199974268,254.68790577398687,285.4203776102828,1.7075529583637694
NDARAG584XLU,R4,ThePresent,available,441,500.0,119.40417520880078,130,0,34,E8,E25,E21,E17,False,False,False,False,0,228,0.0012244486067634714,-44.3233501444913,528.6637913314776,5.562904832667189e-05,0.9289808063443764,6000,0.9870563966490783,2072,0.001406008588562024,4.4385458191230995,0.0014337758453155526,46.0,0.0020997053689433935,0.0013897289827044846,4088.0,0.0013923673647475753,2,203.063994,1.687538997430238e-10,1.687538997430238e-10,0,2,1.0000000000000002,0.002515000000138268,2120,87,44.151484799436886,140.3338465687516,198.38666902124987,3.80222641509434
NDARAG644KE3,R10,ThePresent,available,535,500.0,60.01381973607911,130,0,42,E8,E25,E21,E17,False,False,False,False,135,220,0.00955377124231843,23.25753695101931,133.60874763229035,0.00044870559197574455,0.9446224072530369,6000,0.9975589392747689,524,0.010502643912524362,9.23428815943523,0.01121823304597336,25.0,0.01208798799998828,0.002460487389091691,-43666.0,0.0027518048091093247,2,203.065998,7.582823258189819e-11,7.582823258189819e-11,0,0,1.0000000000000002,0.008096000000037773,1416,92,47.46458049898285,189.22089249877874,244.6617987281468,13.196151129943503
NDARAG788YV9,R11,ThePresent,available,1582,500.0,30.003191609224363,130,0,42,E8,E25,E21,E17,False,False,False,False,148,213,0.005291365921726834,2767.851972603162,879.4356152468008,-0.0021826712168439687,0.9422861265935161,6000,0.9613362861748002,1955,-0.0005417210175403109,1.315176292290958,0.0031826966115672457,2684.0,0.005314264433070164,0.0030204556476147084,3028.0,2.1976925604893886e-05,2,203.076001,8.515410598874951e-11,8.515410598874951e-11,0,2,1.0000000000000004,-0.0026309999999436446,882,161,63.75310514814665,209.0153467567172,797.4700873106922,6.441156462585035
