subject,release,task,availability,et_nan_values,eeg_sampling_rate_hz,et_sampling_rate_hz,eeg_channel_cnt,eeg_bad_channel_count,et_channel_cnt,eog_electrode_used_HEOG_anode,eog_electrode_used_HEOG_cathode,eog_electrode_used_VEOG_anode,eog_electrode_used_VEOG_cathode,eog_electrode_is_fallback_HEOG_anode,eog_electrode_is_fallback_HEOG_cathode,eog_electrode_is_fallback_VEOG_anode,eog_electrode_is_fallback_VEOG_cathode,et_samples_trimmed,eeg_samples_trimmed,gauss_A,gauss_mu,gauss_sigma,gauss_b,gauss_xcorr_cosine_similarity_full,gauss_xcorr_cosine_similarity_full_n,gauss_xcorr_cosine_similarity_95,gauss_xcorr_cosine_similarity_95_n,xcorr_zero,snr,xcorr_peak,xcorr_peak_idx,xcorr_peak_prominence,xcorr_second_peak,xcorr_second_peak_idx,xcorr_second_peak_prominence,shared_events,longest_gap_between_events,mean_abs_sync_error_ms,median_abs_sync_error_ms,within_1_sample,within_4_samples,regression_slope,regression_intercept,n_saccades,n_blinks,avg_saccade_duration_ms,avg_fixation_duration_ms,avg_blink_duration_ms,avg_saccade_amplitude
NDARAY298THW,R8,ThePresent,available,2241,500.0,60.0232618131484,130,0,42,E8,E25,E21,E17,False,False,False,False,416,236,0.0143687165905257,11.757341064763436,363.73846005526246,-0.0013450397363838,0.9079469692707806,6000,0.9818860447044372,1426,0.0164083867962757,6.055581076559943,0.0169365128988288,25.0,0.0208646930985504,0.0071234013188056,-15679.0,0.0109447901143566,2,203.285995,4.785061236134425e-11,4.785061236134425e-11,0,2,1.0000000000000004,-0.0032170000000395,943,422,69.68271822097284,132.65139062074306,220.8528392384156,19.8433934252386
NDARFR601RDQ,R9,ThePresent,available,148,500.0,60.02359352739418,130,0,42,E8,E25,E21,E17,False,False,False,False,337,238,0.0124188696473141,4.787121882193378,353.41394436392164,0.0021024814138577,0.933226882108566,6000,0.9970282259009082,1385,0.0163652897258244,7.295812017028648,0.0167860082249608,24.0,0.0166362148309338,0.0062855275514809,-17983.0,0.0050135757588538,2,203.285993,8.226752612472409e-11,8.226752612472409e-11,0,2,0.9999999999999996,0.0060670000001081,995,20,29.01793275774761,368.0681360886059,181.58984051105668,1.7261909547738692
NDARGM421YWQ,R8,ThePresent,available,82,500.0,60.0235610207622,130,0,42,E8,E25,E21,E17,False,False,False,False,150,229,0.0140564541595278,18.499910839148857,313.07861702008006,-0.0004381403111567,0.9605870164150648,6000,0.9924044447231052,1228,0.0158817987419497,9.339918955030038,0.0166504572238487,30.0,0.0204712530508041,0.0058837891528344,-5474.0,0.0070720410666989,2,203.276004,1.2967404927621828e-10,1.2967404927621828e-10,0,2,1.0,-0.0079550000001173,1372,18,30.67436784777353,260.6432641986571,408.18119401862174,1.6487099125364433
NDARPC937PX8,R10,ThePresent,available,551,500.0,59.97626003032976,130,0,42,E8,E25,E21,E17,False,False,False,False,452,230,0.0113564297752781,73.82075122780502,278.2695983577888,0.0027849071102076,0.9662820023572262,6000,0.995592255435478,1091,0.0146048169788672,21.48409720418621,0.0162541014261203,84.0,0.0151682610847358,0.0059172405060094,-1270.0,0.0008232412332689,2,203.066004,4.1744385725905886e-11,4.1744385725905886e-11,0,2,0.9999999999999996,0.0054740000000269,1252,68,27.745538567154167,282.1823079597226,200.73061579172517,2.3225
NDARDH220WVH,R9,ThePresent,available,102,500.0,60.00877875040395,130,0,42,E8,E25,E21,E17,False,False,False,False,155,239,0.0051640601227411,114.31080493696034,441.63752415937336,0.0094355505446385,0.9927591396087636,6000,0.9989384185929008,1731,0.0154269584652774,4.037593624733426,0.0157777529113655,44.0,0.0082335726534664,0.0113321140690551,-13680.0,0.0029792284708229,2,203.064004,3.141931159689193e-11,3.141931159689193e-11,2,2,1.0,-0.0001769999999657,1195,14,29.80798520368794,307.4217815162589,304.60301228850125,1.3545104602510458
NDARTF079JGU,R9,ThePresent,available,1487,500.0,60.01412138084366,130,0,42,E8,E25,E21,E17,False,False,False,False,429,223,0.013566205485594,37.584198752003445,285.6849994319192,-0.0015081041650771,0.9664390603652696,6000,0.992057781180966,1120,0.0135451639617762,5.780164269589045,0.0145797197169384,38.0,0.0221437119912872,0.0054297623456243,-23639.0,0.0121542712560298,2,203.278004,4.8405723873656825e-11,4.8405723873656825e-11,2,2,1.0000000000000004,-0.0016620000000404,1298,313,28.715558455984134,214.97337258860017,174.53775377661643,2.258721109399075
NDARKM718VKX,R8,ThePresent,available,836,500.0,60.018939110183865,130,0,42,E8,E25,E21,E17,False,False,False,False,415,231,0.0117470981805305,21.45681417919196,250.53558885383063,0.0006224366967499,0.9568487363427964,6000,0.9956487952068764,982,0.0137741392545824,7.554328840638139,0.0144185391462739,30.0,0.0178460102836248,0.0050708317435935,-21461.0,0.0066352395443787,2,203.275996,6.916689443414725e-11,6.916689443414725e-11,0,2,1.0,0.0027990000000817,1452,204,36.8561565007024,207.57736618006535,159.5844339661939,3.639166666666666
NDARAR305LXG,R8,ThePresent,available,368,500.0,60.023571268322925,130,0,42,E8,E25,E21,E17,False,False,False,False,342,238,0.0109551311859634,-8.7034655180092,524.4287583665651,0.0003796056281389,0.9515272039445776,6000,0.9863381438093898,2056,0.0137698199367764,9.264961269545442,0.0142186811200899,28.0,0.0165945164577946,0.0038097713900349,-45637.0,0.0052182459422073,2,203.286003,3.0864200084579345e-11,3.0864200084579345e-11,2,2,1.0,0.0012109999999667,1291,76,29.91604723336313,262.2921777632695,332.5670190587383,1.8808520526723476
NDARVD437JV0,R11,ThePresent,available,694,500.0,60.023380109610905,130,0,42,E8,E25,E21,E17,False,False,False,False,486,238,0.0042487709237111,29.913116559064143,460.62988930990656,0.0083226971526688,0.98115100348078,6000,0.9997112247701826,1805,0.013186976055938,2.4792891268258703,0.0132624207598273,25.0,0.0053447746872006,0.0125857926788748,-14478.0,0.0046333670210831,2,203.066,1.8540724511240114e-11,1.8540724511240114e-11,0,2,1.0,-0.005506999999991,1039,165,27.58145859788894,324.9955377089762,141.0598273695255,3.786708373435996
NDARJR579FW7,R5,ThePresent,available,397,500.0,60.02341294865696,130,0,42,E8,E25,E21,E17,False,False,False,False,162,228,0.0091885373515137,84.94224506191807,322.3076111932681,0.0016806823483561,0.9563577609840624,6000,0.9952949028848312,1263,0.012086151715638,7.1259104469595975,0.012870624714888,33.0,0.0129000186688383,0.0065381960457764,45384.0,0.0049254944667705,2,203.063993,3.275157922644212e-11,3.275157922644212e-11,2,2,1.0,0.0018000000000371,1153,132,50.08263697805235,237.5568871390024,206.1083322615412,7.288716392020815
